127.0.0.1 - - [25/Sep/2018:20:39:00 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/core.js.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/components.js.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=javax.faces HTTP/1.1" 200 42359
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=img HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/components.css.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A?ln=primefaces&v=6.1 HTTP/1.1" 200 78552
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_100_feeebd_1x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_60_fece2f_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:10 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_90_fff9e5_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:11 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:19 -0300] "GET /livraria/javax.faces.resource/forms/password-meter.png.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "POST /livraria/login.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "POST /livraria/login.xhtml;jsessionid=6ABFDAC4110578902497C82FD107B97A HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 31211
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 42359
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/javax.faces.resource/inputnumber/inputnumber.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:25 -0300] "GET /livraria/javax.faces.resource/inputnumber/inputnumber.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 23924
