127.0.0.1 - - [08/Oct/2018:16:16:51 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:22 -0300] "GET /livraria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:22 -0300] "GET /livraria/ HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:24 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:29 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-sunny HTTP/1.1" 200 18560
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/components.js.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/core.js.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/components.css.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=primefaces&v=6.1 HTTP/1.1" 200 78552
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=javax.faces HTTP/1.1" 200 42359
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58?ln=img HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_100_feeebd_1x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_60_fece2f_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_90_fff9e5_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:41 -0300] "GET /livraria/javax.faces.resource/forms/password-meter.png.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:44 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_70_ffdd57_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:44 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_30_ffffff_1x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:49 -0300] "POST /livraria/login.xhtml;jsessionid=4678B09483D4902441D09B9C6B570D58 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:49 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 31195
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:49 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:49 -0300] "GET /livraria/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 42359
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 78552
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/inputnumber/inputnumber.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/inputnumber/inputnumber.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 23924
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_3d3d3d_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:50 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_45_817865_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:17:57 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_bd7b00_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:00 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:00 -0300] "GET /livraria/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:00 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_ed9f26_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:05 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_eb990f_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:06 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_d19405_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:07 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:07 -0300] "GET /livraria/vendas.xhtml HTTP/1.1" 200 13821
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:07 -0300] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:07 -0300] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 330300
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "POST /livraria/vendas.xhtml HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-start HTTP/1.1" 200 18502
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-start HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_45_0078ae_1x400.png.xhtml?ln=primefaces-start HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_75_79c9ec_1x400.png.xhtml?ln=primefaces-start HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_056b93_256x240.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:20 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_e0fdff_256x240.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "POST /livraria/vendas.xhtml HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-south-street HTTP/1.1" 200 18732
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_eeeeee_256x240.png.xhtml?ln=primefaces-south-street HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_25_67b021_1x100.png.xhtml?ln=primefaces-south-street HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-south-street HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-hard_15_459e00_1x100.png.xhtml?ln=primefaces-south-street HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:21 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-hard_100_f5f3e5_1x100.png.xhtml?ln=primefaces-south-street HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "POST /livraria/vendas.xhtml HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 18553
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_454545_256x240.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_888888_256x240.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_75_dadada_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_75_e6e6e6_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:22 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:23 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_65_ffffff_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:23 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_222222_256x240.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:25 -0300] "POST /livraria/vendas.xhtml HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:25 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 31200
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:25 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_75_cccccc_1x100.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:26 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_55_fbf9ee_1x400.png.xhtml?ln=primefaces-smoothness HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-sam HTTP/1.1" 200 19704
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-bg_flat_75_ffffff_40x100.png.xhtml HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/sprite.png.xhtml HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-icons_454545_256x240.png.xhtml HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:28 -0300] "GET /livraria/javax.faces.resource/primefaces-sam/images/ui-default.png.xhtml HTTP/1.1" 200 3721
